No.,Nom du champ,Question,Description,Type du champ
1,region_nom_bdd,,xsd:string,string
2,prefecture_nom_bdd,,xsd:string,string
3,commune_nom_bdd,,xsd:string,string
4,canton_nom_bdd,,xsd:string,string
5,id,,xsd:int,int
6,canton_id_bdd,ID du canton,xsd:string,string
7,nom_localite,Nom de la localité,xsd:string,string
8,etab_id_collecte,ID textuel de l'établissement,xsd:string,string
9,etab_nom,Nom de l'établissement,xsd:string,string
10,etab_adr,Adresse,xsd:string,string
11,ouverture_heure,Horaire d'ouverture (de quelle heure à quelle heure),xsd:string,string
12,ouverture_jour,Jours d'ouverture,xsd:string,string
13,etablissement_creation_date,Année de création de l'établissement,xsd:string,string
14,etablissement_secteur,Type d'établissement,xsd:string,string
15,etablissement_secteur_autre,Autre secteur de l'établissement,xsd:string,string
16,etablissement_categorie,Catégorie de l'établissement,xsd:string,string
17,etablissement_categorie_autre,Autre catégorie de l'établissement,xsd:string,string
18,etablissement_categoriegeneral,Catégorie général de l'établissement,xsd:string,string
19,enseignement_categorie,Catégorie d'enseignement,xsd:string,string
20,etablissement_renovation,Y a-t-il eu une rénovation?,xsd:string,string
21,etablissement_renovation_annee,"Si oui, année de la rénovation",xsd:string,string
22,construction_prog,L'établissement a-t-il été construit dans le cadre d'un programme/projet particulier?,xsd:string,string
23,construction_prog_nom,"Si oui, lequel ?",xsd:string,string
24,construction_date,"Si oui, année du programme/projet",xsd:string,string
25,construction_prog_acteur,"Si oui, acteurs du programme/projet",xsd:string,string
26,construction_prog_montant,"Si oui, montant aloué au programme/projet",xsd:string,string
27,etab_reconnu,L'établissement est-il reconnu par l'Etat?,xsd:string,string
28,organisme_rattachement,Organisme de rattachement,xsd:string,string
29,ministere_tutelle,Ministère de tutelle,xsd:string,string
30,etablissement_religion,Religion de l'établissement,xsd:string,string
31,etablissement_religion_autre,Autre religion,xsd:string,string
32,etablissement_religion_spec,Spécification de la religion (courant religieux),xsd:string,string
33,interlocuteur,L'interlocuteur est il le chef de l'établissement ?,xsd:string,string
34,interlocuteur_nom,"Si non, NOM Prénom",xsd:string,string
35,interlocuteur_contact,"Si non, contact",xsd:string,string
36,interlocuteur_fonction,"Si non, quelle est votre fonction ?",xsd:string,string
37,interlocuteur_fonction_autre,Autre fonction de l'interlocuteur,xsd:string,string
38,responsable_genre,Genre du responsable,xsd:string,string
39,responsable_nom,NOM et Prénom du Directeur/trice d'établissement,xsd:string,string
40,responsable_contact,Numéro de téléphone du Directeur/trice d'établissement,xsd:string,string
41,responsable_annee,Année de la prise de fonction en tant que responsable,xsd:string,string
42,directeur_autre_etab,Le directeur/trice d'établissement dirige t-il d'autres établissements ?,xsd:string,string
43,directeur_autre_etab_nb,"Si oui, combien ?",xsd:int,int
44,langue_enseignement,Langue d'enseignement,xsd:string,string
45,enseignants_total,Nombre total d'enseignants,xsd:int,int
46,enseignants_femmes,Nombre total d'enseignantes femmes,xsd:int,int
47,enseignants_femmes_perm,Nombre d'enseignantes permanentes femmes,xsd:int,int
48,enseignants_femmes_fonct,Nombre d'enseignantes fonctionnaires femmes,xsd:int,int
49,enseignants_femmes_non_fonct,Nombre d'enseignantes non fonctionnaires femmes,xsd:int,int
50,enseignants_hommes,Nombre total d'enseignants hommes,xsd:int,int
51,enseignants_hommes_perm,Nombre d'enseignants permanents hommes,xsd:int,int
52,enseignants_hommes_fonct,Nombre d'enseignants fonctionnaires hommes,xsd:int,int
53,enseignants_hommes_non_fonct,Nombre d'enseignants non fonctionnaire hommes,xsd:int,int
54,etudiants_total,Nombre d'étudiants (femmes + hommes),xsd:int,int
55,etudiantes,Nombre total d'étudiantes femmes,xsd:int,int
56,etudiants,Nombre total d'étudiants hommes,xsd:int,int
